rank,timestamp,latency_ms,claimed_ms,times_worse,tx_hash,player
1,2026-01-22T17:42:59Z,6000,55,109x,0xf679549f35e3daf40062d7a482a1b9bdea101f3544843643ea2f557075db3129,0xb3747839e37b2c8072fcaed1e97c22c4007d7481
2,2026-01-22T17:42:59Z,4000,55,73x,0xb91214fd33e8ed9ea52b2c4de0b71f76cb74cdca46138b60a8c1bdb9044c5a5a,0xb3747839e37b2c8072fcaed1e97c22c4007d7481
3,2026-01-22T17:42:59Z,3000,55,55x,0x9f85e5af45d386d14bc644ccdb11a3a409607d71830e22c1e832b37024253c90,0x913b85aac96e4f9af82f22e3b92a913c8f7161bd
4,2026-01-22T17:42:19Z,2000,55,36x,0xcd32649f39c8fa92fe74f0b523586e4ee002fdfe52973ee1cc039c5ad8991f06,0x742f8d099a58cb0eaebc34e2c099a0f813f69171
5,2026-01-22T17:42:56Z,2000,55,36x,0x3a3976c8b6ac0d7645d1b0a0c75460e0e810b8b42d2be31579e10edfde7f79d5,0x742f8d099a58cb0eaebc34e2c099a0f813f69171
6,2026-01-22T17:42:56Z,2000,55,36x,0x127e2587580c91f634cbe134d6f76409bef9fccfef4341d1d056579ac2966b16,0x742f8d099a58cb0eaebc34e2c099a0f813f69171
7,2026-01-22T17:42:58Z,2000,55,36x,0x90874618a119971c74b049da7349e9245e36626d59f6d04fbded14f6c4aa716e,0xd44499d28ace0301d56b517bd3cf0bf6b9538169
8,2026-01-22T17:42:59Z,2000,55,36x,0x3d11f68773343c369bc7a1e4c578584be4fd722256e1757d22284a20a829315c,0xd44499d28ace0301d56b517bd3cf0bf6b9538169
9,2026-01-22T17:42:59Z,2000,55,36x,0x59205649df66322a1d67100eec05aa16387b9acb50c0a4f2a1f83b6374eaf79a,0x913b85aac96e4f9af82f22e3b92a913c8f7161bd
10,2026-01-22T17:42:19Z,1000,55,18x,0x4c2c2a4f5866c7c7557a0d889e5ec6652c02236432256ad9516c78ff3dad4f37,0xa01741344cf91b89245bd1d078f1d92f3c484d2b
11,2026-01-22T17:42:19Z,1000,55,18x,0xd54cbc24ba8772e52a0d6e9658eaab050f1fe80abed41ec909eb3329e53dbfc2,0x0fc9cc3b4e80f79dbbffbf6ee406555c6cf5c910
12,2026-01-22T17:42:19Z,1000,55,18x,0xd2a010d403a3f573bd6059839964fc323b44a3eeaa07591d818bf2865253d4de,0x742f8d099a58cb0eaebc34e2c099a0f813f69171
13,2026-01-22T17:42:19Z,1000,55,18x,0x39068808cf2b9a60eb34feb1f9f39c259208e3b919b02291128ec789de729906,0xa01741344cf91b89245bd1d078f1d92f3c484d2b
14,2026-01-22T17:42:19Z,1000,55,18x,0xae7f8eb7ba126df40e4c07b5967e4ce824befec937f8c4ef5be9433b00395958,0x0fc9cc3b4e80f79dbbffbf6ee406555c6cf5c910
15,2026-01-22T17:42:19Z,1000,55,18x,0xb1e9bf44c119dde2e03f3b90943cfe7a1f1ba6ab1098c5f52f8aa7d77acd4e84,0xe7e512e2afbecd4d7d48ba11d1477d672880d22f
16,2026-01-22T17:42:31Z,1000,55,18x,0x9c31151a8434eb0022c15b9667b9b97ad2d686ad2e04c58a53fe99a98c10668f,0xa01741344cf91b89245bd1d078f1d92f3c484d2b
17,2026-01-22T17:42:31Z,1000,55,18x,0xa1ad1cf085ae7e1922eafd883eb28d91e972a34b6fe5afdcd3730f4beadc453d,0x742f8d099a58cb0eaebc34e2c099a0f813f69171
18,2026-01-22T17:42:31Z,1000,55,18x,0x23370fbf593de96426daec9a316947683cae05e28f62d7f4b31d3efd7ffa45aa,0x742f8d099a58cb0eaebc34e2c099a0f813f69171
19,2026-01-22T17:42:31Z,1000,55,18x,0x1182c5d1e462e31c4b079c8cbdac1400e28177e183e01fce4aee6671ff562ede,0xa01741344cf91b89245bd1d078f1d92f3c484d2b
20,2026-01-22T17:42:56Z,1000,55,18x,0x8bfaf06bd053208bfb8eff4b82d7556e729d4836db867953ca7f2e6e41c5a6c5,0x0fc9cc3b4e80f79dbbffbf6ee406555c6cf5c910
21,2026-01-22T17:42:56Z,1000,55,18x,0x64b65096735aa82e40e063f4c6a82e4588074832ebf9d3f9470ae4871b2a80cd,0x0fc9cc3b4e80f79dbbffbf6ee406555c6cf5c910
22,2026-01-22T17:42:57Z,1000,55,18x,0x0db1b3f1bf624da61858402416a3d2c7e0e017009a366928de93533efa88c4b4,0x0fc9cc3b4e80f79dbbffbf6ee406555c6cf5c910
23,2026-01-22T17:42:57Z,1000,55,18x,0x76db92553c518ffe31147790fb19c4cfe9714f62804c864f980882a3f683a9c4,0xd44499d28ace0301d56b517bd3cf0bf6b9538169
24,2026-01-22T17:42:57Z,1000,55,18x,0x8fc730f915884cb1473ed88b21df21204bc27758e59b43733dd4ac5fb5399e12,0x0fc9cc3b4e80f79dbbffbf6ee406555c6cf5c910
25,2026-01-22T17:42:57Z,1000,55,18x,0x7cba098ee6b6ba4b83cbbbc706b719a8ac9e315fca21da8cb60aed1c1876fb98,0xd44499d28ace0301d56b517bd3cf0bf6b9538169
26,2026-01-22T17:42:57Z,1000,55,18x,0x030be5183302d4255668f0ff3ef83025d4f5a776361480a7ae42401759ecea85,0x0fc9cc3b4e80f79dbbffbf6ee406555c6cf5c910
27,2026-01-22T17:42:59Z,1000,55,18x,0x36387d56bd0f5f14341a18b6a14f4291b4f8d0e32103f22c72d9fd1aabaf0778,0x0fc9cc3b4e80f79dbbffbf6ee406555c6cf5c910
28,2026-01-22T17:42:59Z,1000,55,18x,0x5c4c0ee651ac0a638d3616b094560868bcfc1a73eddcdf7e2992cf6162f931a9,0x0fc9cc3b4e80f79dbbffbf6ee406555c6cf5c910
29,2026-01-22T17:42:59Z,1000,55,18x,0xe5b61ee4778354c300648a5a9f3b97bdecc55d4683126e41b0a45259029dfc91,0xd44499d28ace0301d56b517bd3cf0bf6b9538169
30,2026-01-22T17:42:59Z,1000,55,18x,0x1be4b4f5babb93096d7bfd32aea4b6a2b7f2ff7dc06830e049ec3b8dd3b35f6c,0xd44499d28ace0301d56b517bd3cf0bf6b9538169
